Name: 天津新闻, URL: http://111.165.215.158:50000/rtp/225.1.1.130:5002$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 104 ms
Can not load response cookies: Illegal key 'session820/qualitor820'
Name: 天津卫视, URL: http://171.116.151.33:8084/rtp/226.0.2.148:9096$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 0 ms
Name: 天津卫视, URL: http://60.220.167.69:8084/rtp/226.0.2.148:9096$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 0 ms
Name: 天津卫视, URL: http://171.118.211.120:8083/rtp/226.0.2.148:9096$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 0 ms
Name: 天津卫视, URL: http://60.164.128.167:8029/rtp/239.255.30.67:8231$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 26 ms
Name: 天津卫视, URL: http://183.166.118.216:8888/rtp/238.1.78.20:6088$1920x1080, Date: 2024-10-17, Resolution: 1920x1080, Response Time: 90 ms
Name: 天津卫视, URL: http://119.98.99.124:5555/rtp/239.69.1.68:10048$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 91 ms
Name: 天津卫视, URL: http://27.9.90.123:8001/rtp/225.0.4.82:7980$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 93 ms
Name: 天津卫视, URL: http://180.158.164.233:8888/udp/239.45.1.124:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 98 ms
Name: 天津卫视, URL: http://223.10.39.207:8082/rtp/239.1.1.46:8046$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 99 ms
Name: 天津卫视, URL: http://110.178.77.222:8083/rtp/239.1.1.46:8046$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 100 ms
Name: 天津卫视, URL: http://175.9.193.128:4502/rtp/239.76.253.185:9000$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 101 ms
Name: 天津卫视, URL: http://36.49.51.252:30007/rtp/239.37.0.064:5540$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 102 ms
Name: 天津卫视, URL: http://123.122.162.7:19999/rtp/239.3.1.141:1234$1920x1080, Date: 2024-08-04, Resolution: 1920x1080, Response Time: 105 ms
Name: 天津卫视, URL: http://59.50.194.91:4022/rtp/239.253.64.198:5140$1920x1080, Date: 2024-10-16, Resolution: 1920x1080, Response Time: 108 ms
Name: 天津卫视, URL: http://220.176.218.6:8888/rtp/239.252.220.61:5140$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 109 ms
Name: 天津卫视, URL: http://171.213.196.179:8000/rtp/239.93.0.167:5140$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 110 ms
Name: 天津卫视, URL: http://61.55.46.35:4022/rtp/239.253.92.91:8021$1920x1080, Date: 2024-10-15, Resolution: 1920x1080, Response Time: 110 ms
Name: 天津卫视, URL: http://114.107.3.230:2000/rtp/238.1.78.20:6088$1920x1080, Date: 2024-10-17, Resolution: 1920x1080, Response Time: 111 ms
Name: 天津卫视, URL: http://123.114.80.74:8012/rtp/239.3.1.141:1234$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 112 ms
Name: 天津卫视, URL: http://111.77.251.232:4022/rtp/239.252.220.61:5140$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 113 ms
Name: 天津卫视, URL: http://218.80.126.237:4022/rtp/239.45.1.124:5140$1920x1080, Date: 2024-10-17, Resolution: 1920x1080, Response Time: 113 ms
Name: 天津卫视, URL: http://60.223.72.185:8002/rtp/226.0.2.148:9096$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 114 ms
Name: 天津卫视, URL: http://180.158.191.162:9999/udp/239.45.1.124:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 114 ms
Name: 天津卫视, URL: http://58.48.200.208:12312/rtp/239.69.1.68:10048$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 115 ms
Name: 天津卫视, URL: http://59.173.55.176:4022/rtp/239.69.1.68:10048$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 115 ms
Name: 天津卫视, URL: http://27.11.48.30:8003/rtp/225.0.4.82:7980$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 116 ms
Name: 天津卫视, URL: http://125.123.147.237:8888/rtp/233.50.201.104:5140$1920x1080, Date: 2024-10-16, Resolution: 1920x1080, Response Time: 117 ms
Name: 天津卫视, URL: http://121.21.84.3:8888/rtp/239.253.92.91:8021$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 117 ms
Name: 天津卫视, URL: http://123.113.100.152:4022/rtp/239.3.1.141:1234$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 117 ms
Name: 天津卫视, URL: http://114.243.97.208:8822/rtp/239.3.1.141:1234$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 117 ms
Name: 天津卫视, URL: http://123.113.237.160:8888/rtp/239.3.1.141:1234$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 117 ms
Name: 天津卫视, URL: http://114.243.104.64:8822/rtp/239.3.1.141:1234$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 117 ms
