更新时间,#genre#
2024-10-11 22:37:50,url
天津卫视,http://118.183.212.29:6868/rtp/239.255.30.67:8231$1920x1080
天津卫视,http://223.10.24.65:8083/rtp/239.1.1.46:8046$1920x1080
天津卫视,http://123.145.43.132:8002/rtp/225.0.4.82:7980$1920x1080
天津卫视,http://223.10.11.180:8082/rtp/239.1.1.46:8046$1920x1080
天津卫视,http://123.122.163.183:19999/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://223.12.12.89:8083/rtp/239.1.1.46:8046$1920x1080
天津卫视,http://183.141.181.175:9999/rtp/233.50.201.104:5140$1920x1080
天津卫视,http://121.21.84.3:8888/rtp/239.253.92.91:8021$1920x1080
天津卫视,http://60.223.72.30:8002/rtp/226.0.2.148:9096$1920x1080
天津卫视,http://183.191.181.121:8002/rtp/226.0.2.148:9096$1920x1080
天津卫视,http://175.11.69.146:8888/rtp/239.76.253.185:9000$1920x1080
天津卫视,http://223.215.3.199:2000/rtp/238.1.78.20:6088$1920x1080
天津卫视,http://114.243.97.208:8822/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://114.243.109.253:8822/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://114.243.106.31:8822/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://113.206.191.84:8002/rtp/225.0.4.82:7980$1920x1080
天津卫视,http://114.243.109.134:8822/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://125.126.206.22:9999/rtp/233.50.201.104:5140$1920x1080
天津卫视,http://114.243.104.64:8822/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://183.147.175.107:8888/rtp/233.50.201.104:5140$1920x1080
天津卫视,http://114.243.105.66:8822/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://219.140.225.0:5555/rtp/239.69.1.68:10048$1920x1080
天津卫视,http://119.98.133.99:4022/rtp/239.69.1.68:10048$1920x1080
天津卫视,http://58.32.43.55:4022/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://222.70.184.41:9898/udp/239.45.1.124:5140$1920x1080
天津卫视,http://enlen.vip:4022/rtp/239.200.200.69:1234$1920x1080
天津卫视,http://119.163.63.188:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
天津卫视,http://119.163.57.184:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
天津卫视,http://122.139.47.206:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0$1920x1080
天津卫视,http://223.241.247.214:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
